관광숙박업등록현황(2015년8월),,,,,,,,,,
업종별,상 호 명,소재지,등급,객실수,전화번호,홈페이지,부대시설,주변관광지,비 고,데이터기준일
가족호텔,대명리조트변산가족호텔,부안군 변산면 변산해변로 51,-,504,1588-4888,www.daemyungresort.com/bs/,"뮤직시티, 스크린골프장, 세그웨이","채석강, 부안영상테마파크",-,2015.08.30
가족호텔,모항해나루가족호텔,부안군 변산면 모항해변길 73,-,112,063-580-0700,www.haenaruhotel.co.kr,"수영장, 사우나, 연회장","국립변산자연휴양림, 곰소항",-,2015.08.30
호스텔,소리울호스텔,전주시 완산구 팔달로 144-4,-,17,063-232-3992,soriwool.fortour.kr,카페테리아,"경기전, 전동성당, 전주한옥마을",-,2015.08.30
호스텔,진스호스텔,전주시 완산구 전동성당길 12-14,,34,063-282-9513,www.jeanshostel.co.kr,,"경기전, 전동성당, 전주한옥마을",,2015.08.30
호스텔,갤러리스테이,전주시 완산구 동문길 54-23,,16,063-283-0505,gallerystay.net,갤러리 ,"경기전, 전동성당, 전주한옥마을",,2015.08.30
호스텔,말마니게스트하우스,전주시 완산구 현무1길 21-27,,9,063-288-2466,www.cafemalmani.com,"카페, 세미나실","경기전, 전동성당, 전주한옥마을",,2015.08.30
휴양콘도,켄싱턴리조트지리산남원,남원시 소리길 66,-,156,063-636-7007,kensingtonnamwon.com,"연회장, 카페","춘향테마파크, 광한루원",-,2015.08.30
휴양콘도,중앙하이츠콘도,남원시 장승안길 2-9,-,153,063-626-8080,www.heights-condo.com,,"춘향테마파크, 광한루원",-,2015.08.30
휴양콘도,지리산토비스콘도,남원시 산내면 산내원천길 4-5,-,60,063-636-3663,www.tovice.net,"연회장, 한식당, 슈퍼마켓","남원교룡산성, 실상사, 춘향테마파크",-,2015.08.30
휴양콘도,일성지리산콘도,남원시 산내면 천왕봉로 626-25,-,167,063-636-7000,www.ilsungresort.co.kr/renew2014/jiri/,"세미나실, 노래방, 당구장","남원교룡산성, 실상사, 춘향테마파크",-,2015.08.30
휴양콘도,일성무주콘도,무주군 무풍면 라제통문로 455,-,121,063-324-3939,www.ilsungresort.co.kr/renew2014/muju/,"세미나실, 당구장, 스키용품점","구천동계곡, 안국사, 무주한풍루",-,2015.08.30
휴양콘도,무주토비스콘도,무주군 무풍면 구천동로 350,-,106,063-322-6411,www.tovice.net,"한식당, 스키대여점, 연회장, 사우나","덕유산자연휴양림, 구천동계곡",-,2015.08.30
